Info 0    [16:27:3.271] Starting TS Server
Info 1    [16:27:3.307] Version: 4.0.3
Info 2    [16:27:3.307] Arguments: /usr/local/Cellar/node/14.14.0/bin/node /Users/william.rudenmalmhogman/.emacs.d/.cache/lsp/npm/typescript/bin/tsserver --logFile /Users/william.rudenmalmhogman/code/w/food/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/xk/56s93l5s36jb6b6bff9j_86c0000gn/T/b8df9a4f8619ad8fbf8319efa0b37b80/tscancellation*
Info 3    [16:27:3.307] Platform: darwin NodeVersion: 14 CaseSensitive: false
Info 4    [16:27:3.307] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [16:27:3.321] Search path: /Users/william.rudenmalmhogman/code/w/food/worker
Info 6    [16:27:3.335] For info: /Users/william.rudenmalmhogman/code/w/food/worker/worker.js :: No config files found.
Info 7    [16:27:3.339] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [16:27:3.894] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 554ms
Info 9    [16:27:3.894] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [16:27:3.894] 	Files (6)

Info 11   [16:27:3.894] -----------------------------------------------
Info 12   [16:27:4.282] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 13   [16:27:4.283] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 1ms
Info 14   [16:27:6.530] Before ensureProjectForOpenFiles:
Info 15   [16:27:6.530] After ensureProjectForOpenFiles:
Info 16   [16:27:6.531] got projects updated in background, updating diagnostics for /Users/william.rudenmalmhogman/code/w/food/worker/worker.js
Info 17   [16:28:18.106] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [16:28:18.114] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 7ms
Info 19   [16:28:18.114] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 20   [16:28:18.115] getCompletionData: Get current token: 0
Info 21   [16:28:18.115] getCompletionData: Is inside comment: 0
Info 22   [16:28:18.115] getCompletionData: Get previous token 1: 0
Info 23   [16:28:18.116] getCompletionData: Get previous token 2: 1
Info 24   [16:28:18.116] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 25   [16:28:18.123] getCompletionData: Semantic work: 7
Info 26   [16:28:18.144] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 17
Info 27   [16:28:18.972] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
